Volume,Issue,Journal Name,Published Date,Link,Title,Journal Year,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Gender_Author 1,Gender_Author 2,Gender_Author 3,Gender_Author 4,Gender_Author 5,Gender_Author 6,Gender_Author 7,Gender_Author 8,Gender_Author 9,Gender_Author 10
16,1,Sustainability Nexus Forum,28 February 2008,https://link.springer.com/article/10.1007/s00550-008-0066-3,Editorial,March 2008,Dietfried Günter Liesegang,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,04 March 2008,https://link.springer.com/article/10.1007/s00550-008-0068-1,Der Klimawandel – Eine aktuelle Bilanz  globaler Prozesse und ihrer regionalen Folgen,March 2008,Alexander Siegmund,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,30 January 2008,https://link.springer.com/article/10.1007/s00550-008-0061-8,Klimaanlagen auf dem Vormarsch,March 2008,Klaus Keßler,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,22 January 2008,https://link.springer.com/article/10.1007/s00550-008-0059-2,Solare Kühlung,March 2008,M. Zetzsche,T. Brendel,H. Müller-Steinhagen,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,08 February 2008,https://link.springer.com/article/10.1007/s00550-008-0063-6,Kühlen mit Erdwärme,March 2008,Wolf-D. Hagelauer,Klaus J. Busch,,,,,,,,,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,20 February 2008,https://link.springer.com/article/10.1007/s00550-008-0064-5,Wenn aus Wärme Kälte wird oder  Einsatz der Absorptionskühlung in der Gebäudekühlung auf Kläranlagen,March 2008,Sven Christian Brückner,Lutz Schneider,,,,,,,,,Male,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,06 February 2008,https://link.springer.com/article/10.1007/s00550-008-0062-7,Einsatz einer Absorptionskältemaschine im Projekt  „Energiespar-Contracting Klinikum Bremerhaven“,March 2008,Heiko Becker,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,18 January 2008,https://link.springer.com/article/10.1007/s00550-008-0060-9,Kühlung durch Wärme – kein Paradox sondern Innovation,March 2008,Lothar Keck,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,28 February 2008,https://link.springer.com/article/10.1007/s00550-008-0067-2,Regionale Entwicklung und Management integrierter Kühlungssysteme (REMIKS) – Ein Projekt im Anfangsstadium,March 2008,Dietfried Günter Liesegang,,,,,,,,,,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1,Sustainability Nexus Forum,28 February 2008,https://link.springer.com/article/10.1007/s00550-008-0065-4,"CSR ist gut, Nachhaltig Wirtschaften ist besser",March 2008,Heike Leitschuh,,,,,,,,,,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
